,g,mp,fg,fga,fg_pct,fg2,fg2a,fg2_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,pts_per_g,Team
46,34,6800,690,1880,.367,477,1107,.431,213,773,.276,489,707,.692,338,804,1142,346,181,78,417,595,2082,61.2,Houston
47,33,6600,839,1987,.422,543,1090,.498,296,897,.330,433,618,.701,416,869,1285,490,166,103,501,581,2407,72.9,Georgia State
48,33,6650,772,1810,.427,536,1077,.498,236,733,.322,385,550,.700,253,708,961,376,180,84,460,510,2165,65.6,Wofford
49,33,6675,819,1920,.427,562,1155,.487,257,765,.336,462,625,.739,346,839,1185,438,192,146,468,607,2359,71.5,Seton Hall
50,33,6625,769,1907,.403,513,1176,.436,256,731,.350,365,517,.706,308,668,976,371,187,99,414,648,2159,65.4,Kentucky
51,33,6650,723,1681,.430,536,1117,.480,187,564,.332,449,624,.720,281,772,1053,343,186,91,548,573,2082,63.1,Abilene Christian
52,32,6425,636,1675,.380,450,990,.455,186,685,.272,304,467,.651,289,665,954,279,166,88,351,505,1762,55.1,Virginia
53,34,6950,843,2047,.412,540,1119,.483,303,928,.327,408,566,.721,382,812,1194,458,196,99,453,591,2397,70.5,Gardner-Webb
54,32,6425,798,1810,.441,563,1179,.478,235,631,.372,421,601,.700,327,722,1049,444,193,110,467,550,2252,70.4,Ole Miss
55,32,6425,796,1978,.402,526,1168,.450,270,810,.333,321,476,.674,348,837,1185,398,218,117,391,551,2183,68.2,Oklahoma
56,33,6725,746,1899,.393,538,1232,.437,208,667,.312,327,492,.665,322,851,1173,340,170,133,375,575,2027,61.4,Wisconsin
57,35,7050,747,1860,.402,500,1020,.490,247,840,.294,462,657,.703,340,807,1147,416,183,96,487,589,2203,62.9,Oregon
58,33,6600,695,1678,.414,471,960,.491,224,718,.312,341,512,.666,271,794,1065,382,204,94,490,547,1955,59.2,Kansas State
59,35,7100,760,1998,.380,540,1335,.404,220,663,.332,476,675,.705,356,790,1146,331,182,94,399,594,2216,63.3,UC-Irvine
60,34,6875,825,1903,.434,575,1156,.497,250,747,.335,381,545,.699,318,792,1110,464,182,78,394,630,2281,67.1,Villanova
61,33,6625,779,1785,.436,601,1225,.491,178,560,.318,388,525,.739,248,713,961,334,164,111,351,529,2124,64.4,Saint Mary's
62,32,6450,732,1739,.421,475,991,.479,257,748,.344,417,569,.733,285,728,1013,404,154,121,417,540,2138,66.8,Purdue
63,34,6800,716,1833,.391,477,1098,.434,239,735,.325,396,594,.667,302,854,1156,378,165,84,413,561,2067,60.8,Old Dominion
64,34,6850,737,1816,.406,464,1038,.447,273,778,.351,368,554,.664,328,727,1055,373,132,125,462,644,2115,62.2,Cincinnati
65,33,6650,887,1979,.448,620,1160,.534,267,819,.326,389,569,.684,343,802,1145,524,220,90,433,680,2430,73.6,Iowa
66,34,6875,806,2021,.399,532,1209,.440,274,812,.337,448,684,.655,399,763,1162,421,217,86,439,635,2334,68.6,Tennessee
67,34,6875,854,1969,.434,586,1171,.500,268,798,.336,405,569,.712,315,759,1074,441,243,107,414,569,2381,70.0,Colgate
